NextprotID,Anchor,GeneName,Chr,ProteinEvidence,PE,Missing
NX_Q96PZ2,,FAM111A,11,protein level,PE1,0
NX_Q9Y2E6,,DTX4,11,protein level,PE1,0
NX_Q2M385,,MPEG1,11,protein level,PE1,0
NX_Q8NGI8,,OR5AN1,11,transcript level,PE2,1
NX_Q8NGI9,,OR5A2,11,protein level,PE1,0
NX_Q8NGJ0,,OR5A1,11,transcript level,PE2,1
NX_Q8NGJ1,,OR4D6,11,transcript level,PE2,1
NX_Q8NGI6,,OR4D10,11,transcript level,PE2,1
NX_Q8NGI4,,OR4D11,11,transcript level,PE2,1
NX_Q8NGE8,,OR4D9,11,homology,PE3,1
NX_P22059,,OSBP,11,protein level,PE1,0
NX_Q86TB9,,PATL1,11,protein level,PE1,0
NX_Q8NGI7,,OR10V1,11,transcript level,PE2,1
NX_Q13277,,STX3,11,protein level,PE1,0
NX_Q9NX20,,MRPL16,11,protein level,PE1,0
NX_P27352,,GIF,11,protein level,PE1,0
NX_P20061,,TCN1,11,protein level,PE1,0
NX_A8MZH6,,OOSP1,11,homology,PE3,1
NX_Q86WS3,,PLAC1L,11,transcript level,PE2,1
NX_Q96HJ5,,MS4A3,11,protein level,PE1,0
NX_Q01362,,MS4A2,11,transcript level,PE2,1
NX_Q9H2W1,,MS4A6A,11,protein level,PE1,0
NX_Q96PG1,,MS4A4E,11,transcript level,PE2,1
NX_Q96JQ5,,MS4A4A,11,transcript level,PE2,1
NX_Q96DS6,,MS4A6E,11,transcript level,PE2,1
NX_Q9GZW8,,MS4A7,11,protein level,PE1,0
NX_Q96JA4,,MS4A14,11,transcript level,PE2,1
NX_Q9H3V2,,MS4A5,11,transcript level,PE2,1
NX_P11836,,MS4A1,11,protein level,PE1,0
NX_Q9NXJ0,,MS4A12,11,transcript level,PE2,1
NX_Q5J8X5,,MS4A13,11,transcript level,PE2,1
NX_Q8NCQ3,,LINC00301,11,uncertain,PE5,0
NX_Q9BY19,,MS4A8,11,transcript level,PE2,1
NX_Q3C1V0,,MS4A18,11,transcript level,PE2,1
NX_Q8N5U1,,MS4A15,11,transcript level,PE2,1
NX_Q96PG2,,MS4A10,11,transcript level,PE2,1
NX_Q9H6F5,,CCDC86,11,protein level,PE1,0
NX_Q9Y5Y4,,PTGDR2,11,protein level,PE1,0
NX_P60852,,ZP1,11,transcript level,PE2,1
NX_Q9UMS4,,PRPF19,11,protein level,PE1,0
NX_Q9BVC6,,TMEM109,11,protein level,PE1,0
NX_Q24JP5,,TMEM132A,11,protein level,PE1,0
NX_Q8IY34,,SLC15A3,11,protein level,PE1,0
NX_P30203,,CD6,11,protein level,PE1,0
NX_P06127,,CD5,11,protein level,PE1,0
NX_A5D8V6,,VPS37C,11,protein level,PE1,0
NX_P0DJD8,,PGA3,11,protein level,PE1,0
NX_P0DJD7,,PGA4,11,protein level,PE1,0
NX_P0DJD9,,PGA5,11,protein level,PE1,0
NX_Q96DN2,,VWCE,11,protein level,PE1,0
NX_Q16531,,DDB1,11,protein level,PE1,0
NX_Q3LXA3,,DAK,11,protein level,PE1,0
NX_Q8NBI2,,CYB561A3,11,protein level,PE1,0
NX_Q9NPI0,,TMEM138,11,protein level,PE1,0
NX_Q9P0N5,,TMEM216,11,protein level,PE1,0
NX_Q8N684,,CPSF7,11,protein level,PE1,0
NX_Q9NX18,,SDHAF2,11,protein level,PE1,0
NX_Q7Z5V6,,PPP1R32,11,protein level,PE1,0
NX_A6NIK2,,LRRC10B,11,predicted,PE4,1
NX_O43581,,SYT7,11,protein level,PE1,0
NX_Q9Y4D2,,DAGLA,11,protein level,PE1,0
NX_Q9Y2G1,,MYRF,11,protein level,PE1,0
NX_P61165,,TMEM258,11,protein level,PE1,0
NX_P39748,,FEN1,11,protein level,PE1,0
NX_O95864,,FADS2,11,protein level,PE1,0
NX_O60427,,FADS1,11,protein level,PE1,0
NX_Q9Y5Q0,,FADS3,11,protein level,PE1,0
NX_Q8TBN0,,RAB3IL1,11,protein level,PE1,0
NX_O76090,,BEST1,11,protein level,PE1,0
NX_P02794,,FTH1,11,protein level,PE1,0
NX_Q9NQS7,,INCENP,11,protein level,PE1,0
NX_O95968,,SCGB1D1,11,protein level,PE1,0
NX_O75556,,SCGB2A1,11,protein level,PE1,0
NX_O95969,,SCGB1D2,11,protein level,PE1,0
NX_Q13296,,SCGB2A2,11,protein level,PE1,0
NX_Q6XE38,,SCGB1D4,11,protein level,PE1,0
NX_Q7L266,,ASRGL1,11,protein level,PE1,0
NX_P11684,,SCGB1A1,11,protein level,PE1,0
NX_Q09666,,AHNAK,11,protein level,PE1,0
NX_P26641,,EEF1G,11,protein level,PE1,0
NX_Q9H6E5,,TUT1,11,protein level,PE1,0
NX_O94776,,MTA2,11,protein level,PE1,0
NX_Q32P44,,EML3,11,protein level,PE1,0
NX_Q03395,,ROM1,11,protein level,PE1,0
NX_O94766,,B3GAT3,11,protein level,PE1,0
NX_Q14697,,GANAB,11,protein level,PE1,0
NX_Q6P9B9,,INTS5,11,protein level,PE1,0
NX_Q9BQE6,,C11orf48,11,transcript level,PE2,1
NX_A8MUP2,,METTL12,11,transcript level,PE2,1
NX_Q6UW78,,C11orf83,11,protein level,PE1,0
NX_Q04323,,UBXN1,11,protein level,PE1,0
NX_Q8ND94,,LRRN4CL,11,protein level,PE1,0
NX_Q96G97,,BSCL2,11,protein level,PE1,0
NX_P63215,,GNG3,11,protein level,PE1,0
NX_Q1KMD3,,HNRNPUL2,11,protein level,PE1,0
NX_Q8N5M4,,TTC9C,11,protein level,PE1,0
NX_Q9H5J0,,ZBTB3,11,protein level,PE1,0
NX_P62487,,POLR2G,11,protein level,PE1,0
NX_Q9Y6J9,,TAF6L,11,protein level,PE1,0
NX_A0PJW6,,TMEM223,11,protein level,PE1,0
NX_Q7Z7N9,,TMEM179B,11,protein level,PE1,0
NX_Q9UBU9,,NXF1,11,protein level,PE1,0
NX_Q13190,,STX5,11,protein level,PE1,0
NX_Q6RFH5,,WDR74,11,protein level,PE1,0
NX_P08195,,SLC3A2,11,protein level,PE1,0
NX_P11229,,CHRM1,11,protein level,PE1,0
NX_Q4U2R8,,SLC22A6,11,protein level,PE1,0
NX_Q8TCC7,,SLC22A8,11,protein level,PE1,0
NX_Q8N4F4,,SLC22A24,11,transcript level,PE2,1
NX_Q63ZE4,,SLC22A10,11,transcript level,PE2,1
NX_Q6T423,,SLC22A25,11,transcript level,PE2,1
NX_Q8IVM8,,SLC22A9,11,protein level,PE1,0
NX_Q96KN8,,HRASLS5,11,transcript level,PE2,1
NX_Q96DT0,,LGALS12,11,protein level,PE1,0
NX_Q9UL19,,RARRES3,11,protein level,PE1,0
NX_Q9NWW9,,HRASLS2,11,protein level,PE1,0
NX_P53816,,PLA2G16,11,protein level,PE1,0
NX_Q6DD88,,ATL3,11,protein level,PE1,0
NX_O95197,,RTN3,11,protein level,PE1,0
NX_C9JLR9,,C11orf95,11,transcript level,PE2,1
NX_Q9BUA3,,C11orf84,11,protein level,PE1,0
NX_Q7KZI7,,MARK2,11,protein level,PE1,0
NX_Q8IZ40,,RCOR2,11,protein level,PE1,0
NX_Q86UY6,,NAA40,11,protein level,PE1,0
NX_P10176,,COX8A,11,protein level,PE1,0
NX_Q96FW1,,OTUB1,11,protein level,PE1,0
NX_Q9BQ69,,MACROD1,11,protein level,PE1,0
NX_Q9NZU1,,FLRT1,11,protein level,PE1,0
NX_P31948,,STIP1,11,protein level,PE1,0
NX_Q86UX7,,FERMT3,11,protein level,PE1,0
NX_Q86TN4,,TRPT1,11,protein level,PE1,0
NX_Q9BRQ3,,NUDT22,11,protein level,PE1,0
NX_Q9NNZ3,,DNAJC4,11,transcript level,PE2,1
NX_P49765,,VEGFB,11,protein level,PE1,0
NX_P26885,,FKBP2,11,protein level,PE1,0
NX_Q96C90,,PPP1R14B,11,protein level,PE1,0
NX_Q01970,,PLCB3,11,protein level,PE1,0
NX_Q92934,,BAD,11,protein level,PE1,0
NX_Q96N19,,GPR137,11,transcript level,PE2,1
NX_Q9NYG8,,KCNK4,11,protein level,PE1,0
NX_Q9NTU4,,TEX40,11,transcript level,PE2,1
NX_P11474,,ESRRA,11,protein level,PE1,0
NX_Q9UI30,,TRMT112,11,protein level,PE1,0
NX_P30044,,PRDX5,11,protein level,PE1,0
NX_A6NC98,,CCDC88B,11,protein level,PE1,0
NX_O75676,,RPS6KA4,11,protein level,PE1,0
NX_Q9NSA0,,SLC22A11,11,protein level,PE1,0
NX_Q96S37,,SLC22A12,11,protein level,PE1,0
NX_P58401,,NRXN2,11,transcript level,PE2,1
NX_Q9P2S2,,NRXN2,11,protein level,PE1,0
NX_Q7LDG7,,RASGRP2,11,protein level,PE1,0
NX_P11217,,PYGM,11,protein level,PE1,0
NX_Q15637,,SF1,11,protein level,PE1,0
NX_Q8TAT8,,-,11,uncertain,PE5,0
NX_Q12851,,MAP4K2,11,protein level,PE1,0
NX_O00255,,MEN1,11,protein level,PE1,0
NX_Q6DT37,,CDC42BPG,11,protein level,PE1,0
NX_Q9H4M9,,EHD1,11,protein level,PE1,0
NX_Q2TAZ0,,ATG2A,11,protein level,PE1,0
NX_Q15173,,PPP2R5B,11,protein level,PE1,0
NX_Q96T91,,GPHA2,11,protein level,PE1,0
NX_Q3KP22,,C11orf85,11,transcript level,PE2,1
NX_Q8N1L9,,BATF2,11,protein level,PE1,0
NX_P36404,,ARL2,11,protein level,PE1,0
NX_Q9NRS6,,SNX15,11,protein level,PE1,0
NX_A6NKF1,,SAC3D1,11,protein level,PE1,0
NX_Q9UQQ1,,NAALADL1,11,transcript level,PE2,1
NX_Q96FF9,,CDCA5,11,protein level,PE1,0
NX_O95159,,ZFPL1,11,protein level,PE1,0
NX_Q6ZVS6,,-,11,transcript level,PE2,1
NX_Q9UID3,,VPS51,11,protein level,PE1,0
NX_O76062,,TM7SF2,11,protein level,PE1,0
NX_Q9UHR6,,ZNHIT2,11,protein level,PE1,0
NX_P35544,,FAU,11,protein level,PE1,0
NX_P62861,,FAU,11,protein level,PE1,0
NX_Q86TM6,,SYVN1,11,protein level,PE1,0
NX_Q13405,,MRPL49,11,protein level,PE1,0
NX_Q5MJ68,,SPDYC,11,protein level,PE1,0
NX_P07384,,CAPN1,11,protein level,PE1,0
NX_A6NK97,,SLC22A20,11,transcript level,PE2,1
NX_Q14181,,POLA2,11,protein level,PE1,0
NX_O14613,,CDC42EP2,11,protein level,PE1,0
NX_Q92785,,DPF2,11,protein level,PE1,0
NX_Q6B0B8,,TIGD3,11,protein level,PE1,0
NX_Q8N413,,SLC25A45,11,transcript level,PE2,1
NX_Q9BZ67,,FRMD8,11,protein level,PE1,0
NX_A6NDN8,,-,11,predicted,PE4,1
NX_Q9UHZ2,,MALAT1,11,transcript level,PE2,1
NX_Q96KG9,,SCYL1,11,protein level,PE1,0
NX_Q9NS15,,LTBP3,11,protein level,PE1,0
NX_O60232,,SSSCA1,11,protein level,PE1,0
NX_Q8N5H3,,FAM89B,11,protein level,PE1,0
NX_Q8N3D4,,EHBP1L1,11,protein level,PE1,0
NX_Q9Y2U2,,KCNK7,11,transcript level,PE2,1
NX_Q16584,,MAP3K11,11,protein level,PE1,0
NX_Q9H6A9,,PCNXL3,11,protein level,PE1,0
NX_Q6ZTI0,,-,11,uncertain,PE5,0
NX_Q96FS4,,SIPA1,11,protein level,PE1,0
NX_Q04206,,RELA,11,protein level,PE1,0
NX_Q92993,,KAT5,11,protein level,PE1,0
NX_Q8TDP1,,RNASEH2C,11,protein level,PE1,0
NX_Q2VPB7,,AP5B1,11,protein level,PE1,0
NX_O14753,,OVOL1,11,transcript level,PE2,1
NX_P23528,,CFL1,11,protein level,PE1,0
NX_Q86XE0,,SNX32,11,protein level,PE1,0
NX_Q96NY9,,MUS81,11,protein level,PE1,0
NX_O95967,,EFEMP2,11,protein level,PE1,0
NX_P56202,,CTSW,11,protein level,PE1,0
NX_O43427,,FIBP,11,protein level,PE1,0
NX_Q15834,,CCDC85B,11,protein level,PE1,0
NX_P15407,,FOSL1,11,protein level,PE1,0
NX_Q9H3H3,,C11orf68,11,protein level,PE1,0
NX_Q14919,,DRAP1,11,protein level,PE1,0
NX_Q3SY00,,TSGA10IP,11,protein level,PE1,0
NX_O43290,,SART1,11,protein level,PE1,0
NX_Q8N9N8,,EIF1AD,11,protein level,PE1,0
NX_O75531,,BANF1,11,protein level,PE1,0
NX_Q15828,,CST6,11,protein level,PE1,0
NX_Q8NEC5,,CATSPER1,11,protein level,PE1,0
NX_Q96A11,,GAL3ST3,11,protein level,PE1,0
NX_Q13435,,SF3B2,11,protein level,PE1,0
NX_Q6VY07,,PACS1,11,protein level,PE1,0
NX_Q9H0B6,,KLC2,11,protein level,PE1,0
NX_Q9H0U4,,RAB1B,11,protein level,PE1,0
NX_Q6PI25,,CNIH2,11,protein level,PE1,0
NX_O95070,,YIF1A,11,protein level,PE1,0
NX_Q8N4L1,,TMEM151A,11,protein level,PE1,0
NX_Q9HCU0,,CD248,11,protein level,PE1,0
NX_Q13671,,RIN1,11,protein level,PE1,0
NX_Q9HCU9,,BRMS1,11,protein level,PE1,0
NX_O43505,,B3GNT1,11,protein level,PE1,0
NX_Q14542,,SLC29A2,11,protein level,PE1,0
NX_Q8IUM7,,NPAS4,11,protein level,PE1,0
NX_Q9Y3B7,,MRPL11,11,protein level,PE1,0
NX_Q8N2H9,,PELI3,11,protein level,PE1,0
NX_Q9NY33,,DPP3,11,protein level,PE1,0
NX_Q8NFJ9,,BBS1,11,protein level,PE1,0
NX_Q6UX98,,ZDHHC24,11,protein level,PE1,0
NX_Q08043,,ACTN3,11,protein level,PE1,0
NX_Q9UBX1,,CTSF,11,protein level,PE1,0
NX_Q9NVE4,,CCDC87,11,transcript level,PE2,1
NX_O14618,,CCS,11,protein level,PE1,0
NX_Q96PK6,,RBM14,11,protein level,PE1,0
NX_Q9BWF3,,RBM4,11,protein level,PE1,0
NX_Q9BQ04,,RBM4B,11,protein level,PE1,0
NX_O15020,,SPTBN2,11,protein level,PE1,0
NX_Q8N6T0,,C11orf80,11,transcript level,PE2,1
NX_Q9Y256,,RCE1,11,protein level,PE1,0
NX_P11498,,PC,11,protein level,PE1,0
NX_Q6PJG9,,LRFN4,11,protein level,PE1,0
NX_A6NJI1,,C11orf86,11,transcript level,PE2,1
NX_Q8IV01,,SYT12,11,transcript level,PE2,1
NX_O00212,,RHOD,11,protein level,PE1,0
NX_Q9Y2K7,,KDM2A,11,protein level,PE1,0
NX_P25098,,ADRBK1,11,protein level,PE1,0
NX_Q6ZTN6,,ANKRD13D,11,protein level,PE1,0
NX_Q8TE77,,SSH3,11,protein level,PE1,0
NX_Q9HCU8,,POLD4,11,protein level,PE1,0
NX_Q9UBD9,,CLCF1,11,protein level,PE1,0
NX_Q99638,,RAD9A,11,protein level,PE1,0
NX_P62136,,PPP1CA,11,protein level,PE1,0
NX_Q8IV04,,TBC1D10C,11,protein level,PE1,0
NX_A5YM72,,CARNS1,11,protein level,PE1,0
NX_Q9UBS0,,RPS6KB2,11,protein level,PE1,0
NX_Q14761,,PTPRCAP,11,protein level,PE1,0
NX_Q9BR76,,CORO1B,11,protein level,PE1,0
NX_Q8TDT2,,GPR152,11,transcript level,PE2,1
NX_P57796,,CABP4,11,protein level,PE1,0
NX_Q9H6X4,,TMEM134,11,protein level,PE1,0
NX_O00170,,AIP,11,protein level,PE1,0
NX_O00562,,PITPNM1,11,protein level,PE1,0
NX_O75956,,CDK2AP2,11,protein level,PE1,0
NX_Q9NPB3,,CABP2,11,protein level,PE1,0
NX_P09211,,GSTP1,11,protein level,PE1,0
NX_Q8NBR9,,C11orf72,11,transcript level,PE2,1
NX_P49821,,NDUFV1,11,protein level,PE1,0
NX_Q8WV74,,NUDT8,11,protein level,PE1,0
NX_O75333,,TBX10,11,transcript level,PE2,1
NX_Q96HD9,,ACY3,11,protein level,PE1,0
NX_P48448,,ALDH3B2,11,transcript level,PE2,1
NX_A6NEL3,,FAM86C2P,11,uncertain,PE5,0
NX_Q9H1C4,,UNC93B1,11,protein level,PE1,0
NX_P43353,,ALDH3B1,11,protein level,PE1,0
NX_O00217,,NDUFS8,11,protein level,PE1,0
NX_Q13488,,TCIRG1,11,protein level,PE1,0
NX_P35790,,CHKA,11,protein level,PE1,0
NX_Q4FZB7,,SUV420H1,11,protein level,PE1,0
NX_Q96F05,,C11orf24,11,protein level,PE1,0
NX_O75197,,LRP5,11,protein level,PE1,0
NX_Q5H9R7,,PPP6R3,11,protein level,PE1,0
NX_P22466,,GAL,11,protein level,PE1,0
NX_Q9Y4I5,,MTL5,11,protein level,PE1,0
NX_P50416,,CPT1A,11,protein level,PE1,0
NX_Q7Z2W9,,MRPL21,11,protein level,PE1,0
NX_P38935,,IGHMBP2,11,protein level,PE1,0
NX_Q8TDS7,,MRGPRD,11,transcript level,PE2,1
NX_Q96AM1,,MRGPRF,11,protein level,PE1,0
NX_Q8NHX9,,TPCN2,11,protein level,PE1,0
NX_Q96EZ4,,MYEOV,11,transcript level,PE2,1
NX_P24385,,CCND1,11,protein level,PE1,0
NX_Q8WV07,,ORAOV1,11,protein level,PE1,0
NX_O95750,,FGF19,11,protein level,PE1,0
NX_P08620,,FGF4,11,protein level,PE1,0
NX_P11487,,FGF3,11,protein level,PE1,0
NX_Q5XXA6,,ANO1,11,protein level,PE1,0
NX_Q13158,,FADD,11,protein level,PE1,0
NX_Q13136,,PPFIA1,11,protein level,PE1,0
NX_Q14247,,CTTN,11,protein level,PE1,0
NX_Q9UPX8,,SHANK2,11,protein level,PE1,0
NX_Q9BTD1,,SHANK2-AS3,11,uncertain,PE5,0
NX_Q6ZVU0,,-,11,uncertain,PE5,0
NX_Q9UBM7,,DHCR7,11,protein level,PE1,0
NX_Q6IA69,,NADSYN1,11,protein level,PE1,0
NX_Q6L8G8,,KRTAP5-7,11,transcript level,PE2,1
NX_O75690,,KRTAP5-8,11,transcript level,PE2,1
NX_P26371,,KRTAP5-9,11,protein level,PE1,0
NX_Q6L8G5,,KRTAP5-10,11,transcript level,PE2,1
NX_Q6L8G4,,KRTAP5-11,11,transcript level,PE2,1
NX_Q6ZVH6,,-,11,transcript level,PE2,1
NX_Q9NVL1,,FAM86C1,11,protein level,PE1,0
NX_A8MWA4,,ZNF705E,11,homology,PE3,1
NX_Q8NET1,,DEFB108B,11,transcript level,PE2,1
NX_Q6ZNB5,,-,11,uncertain,PE5,0
NX_Q9H920,,RNF121,11,protein level,PE1,0
NX_O95998,,IL18BP,11,protein level,PE1,0
NX_Q14980,,NUMA1,11,protein level,PE1,0
NX_Q8WZ04,,LRTOMT,11,protein level,PE1,0
NX_Q96E66,,LRTOMT,11,transcript level,PE2,1
NX_Q6IAA8,,LAMTOR1,11,protein level,PE1,0
NX_P60006,,ANAPC15,11,protein level,PE1,0
NX_P41439,,FOLR3,11,protein level,PE1,0
NX_P15328,,FOLR1,11,protein level,PE1,0
NX_P14207,,FOLR2,11,protein level,PE1,0
NX_O15357,,INPPL1,11,protein level,PE1,0
NX_O14813,,PHOX2A,11,protein level,PE1,0
NX_Q9H078,,CLPB,11,protein level,PE1,0
NX_O00408,,PDE2A,11,protein level,PE1,0
NX_Q96P48,,ARAP1,11,protein level,PE1,0
NX_Q9Y365,,STARD10,11,protein level,PE1,0
NX_Q8NAA4,,ATG16L2,11,protein level,PE1,0
NX_O94868,,FCHSD2,11,protein level,PE1,0
NX_P41231,,P2RY2,11,protein level,PE1,0
NX_Q15077,,P2RY6,11,protein level,PE1,0
NX_Q96PE2,,ARHGEF17,11,protein level,PE1,0
NX_Q969Z4,,RELT,11,protein level,PE1,0
NX_Q92567,,FAM168A,11,protein level,PE1,0
NX_Q9UF11,,PLEKHB1,11,protein level,PE1,0
NX_P20340,,RAB6A,11,protein level,PE1,0
NX_Q96GC5,,MRPL48,11,protein level,PE1,0
NX_Q9NYJ1,,COA4,11,protein level,PE1,0
NX_Q9BRP4,,PAAF1,11,protein level,PE1,0
NX_P59910,,DNAJB13,11,protein level,PE1,0
NX_P55851,,UCP2,11,protein level,PE1,0
NX_P55916,,UCP3,11,protein level,PE1,0
NX_Q4AC94,,C2CD3,11,protein level,PE1,0
NX_Q9Y570,,PPME1,11,protein level,PE1,0
NX_Q9UHU1,,-,11,uncertain,PE5,0
NX_Q7Z4N8,,P4HA3,11,protein level,PE1,0
NX_Q6PCE3,,PGM2L1,11,protein level,PE1,0
NX_Q9Y6H6,,KCNE3,11,protein level,PE1,0
NX_A6NK58,,LIPT2,11,protein level,PE1,0
NX_Q15054,,POLD3,11,protein level,PE1,0
NX_Q6WN34,,CHRDL2,11,protein level,PE1,0
NX_Q8NCN4,,RNF169,11,protein level,PE1,0
NX_Q6P2D8,,XRRA1,11,transcript level,PE2,1
NX_Q15005,,SPCS2,11,protein level,PE1,0
NX_Q9UQ49,,NEU3,11,protein level,PE1,0
NX_A6NND4,,OR2AT4,11,transcript level,PE2,1
NX_O94956,,SLCO2B1,11,protein level,PE1,0
NX_P0DKB5,,TPBGL,11,predicted,PE4,1
NX_P49407,,ARRB1,11,protein level,PE1,0
NX_P23396,,RPS3,11,protein level,PE1,0
NX_Q6PF15,,KLHL35,11,transcript level,PE2,1
NX_Q8WTR4,,GDPD5,11,transcript level,PE2,1
NX_P50454,,SERPINH1,11,protein level,PE1,0
NX_Q96JE9,,MAP6,11,protein level,PE1,0
NX_Q3SYC2,,MOGAT2,11,protein level,PE1,0
NX_Q96PD7,,DGAT2,11,protein level,PE1,0
NX_Q9P2Y5,,UVRAG,11,protein level,PE1,0
NX_O96014,,WNT11,11,protein level,PE1,0
NX_O43422,,PRKRIR,11,protein level,PE1,0
NX_Q3ZCU0,,-,11,uncertain,PE5,0
NX_Q7Z589,,EMSY,11,protein level,PE1,0
NX_Q14392,,LRRC32,11,protein level,PE1,0
NX_Q8WUA8,,TSKU,11,protein level,PE1,0
NX_Q9NUN7,,ACER3,11,protein level,PE1,0
NX_Q6ZMB0,,B3GNT6,11,protein level,PE1,0
NX_O15484,,CAPN5,11,protein level,PE1,0
NX_P47874,,OMP,11,transcript level,PE2,1
NX_Q13402,,MYO7A,11,protein level,PE1,0
NX_Q6W3E5,,GDPD4,11,protein level,PE1,0
NX_Q13153,,PAK1,11,protein level,PE1,0
NX_P54105,,CLNS1A,11,protein level,PE1,0
NX_Q8NBQ7,,AQP11,11,transcript level,PE2,1
NX_Q96T23,,RSF1,11,protein level,PE1,0
NX_Q9H7C9,,AAMDC,11,protein level,PE1,0
NX_Q96HW7,,INTS4,11,protein level,PE1,0
NX_Q9BQ13,,KCTD14,11,protein level,PE1,0
NX_E9PQ53,,NDUFC2-KCTD14,11,protein level,PE1,0
NX_Q92748,,THRSP,11,protein level,PE1,0
NX_O95298,,NDUFC2,11,protein level,PE1,0
NX_Q9BVK2,,ALG8,11,protein level,PE1,0
NX_Q4G0X4,,KCTD21,11,protein level,PE1,0
NX_Q9P2H5,,USP35,11,protein level,PE1,0
NX_Q9UQC2,,GAB2,11,protein level,PE1,0
NX_Q92670,,ZNF75CP,11,uncertain,PE5,0
NX_Q96I59,,NARS2,11,protein level,PE1,0
NX_Q6N022,,TENM4,11,protein level,PE1,0
NX_A6NEQ2,,FAM181B,11,transcript level,PE2,1
NX_P42785,,PRCP,11,protein level,PE1,0
NX_Q8IXT1,,NOXIN,11,protein level,PE1,0
NX_Q15771,,RAB30,11,protein level,PE1,0
NX_O94913,,PCF11,11,protein level,PE1,0
NX_Q8N9B4,,ANKRD42,11,transcript level,PE2,1
NX_Q9GZT6,,CCDC90B,11,protein level,PE1,0
NX_Q15700,,DLG2,11,protein level,PE1,0
NX_Q8IUX1,,TMEM126B,11,protein level,PE1,0
NX_Q9H061,,TMEM126A,11,protein level,PE1,0
NX_Q9NS37,,CREBZF,11,protein level,PE1,0
NX_Q8N998,,CCDC89,11,transcript level,PE2,1
NX_Q9HCH5,,SYTL2,11,protein level,PE1,0
NX_Q8IWF9,,CCDC83,11,transcript level,PE2,1
NX_Q13492,,PICALM,11,protein level,PE1,0
NX_O75530,,EED,11,protein level,PE1,0
NX_Q53FT3,,C11orf73,11,protein level,PE1,0
NX_Q6ZN84,,CCDC81,11,transcript level,PE2,1
NX_Q16798,,ME3,11,protein level,PE1,0
NX_O95084,,PRSS23,11,protein level,PE1,0
NX_Q9ULV1,,FZD4,11,protein level,PE1,0
NX_Q86UB9,,TMEM135,11,protein level,PE1,0
NX_P57729,,RAB38,11,protein level,PE1,0
NX_P53634,,CTSC,11,protein level,PE1,0
NX_P41594,,GRM5,11,protein level,PE1,0
NX_P14679,,TYR,11,protein level,PE1,0
NX_Q9NPH5,,NOX4,11,protein level,PE1,0
NX_Q9HBA9,,FOLH1B,11,transcript level,PE2,1
NX_P0CI25,,TRIM49,11,transcript level,PE2,1
NX_A6NDQ2,,-,11,homology,PE3,1
NX_A6NI03,,TRIM64B,11,uncertain,PE5,0
NX_C9J1S8,,TRIM49D1,11,protein level,PE1,0
NX_C9J1S8,,TRIM49D2P,11,protein level,PE1,0
NX_A6NGJ6,,TRIM64,11,transcript level,PE2,1
NX_P0CI26,,TRIM49C,11,transcript level,PE2,1
NX_P0CB47,,UBTFL1,11,uncertain,PE5,0
NX_Q9Y3Q0,,NAALAD2,11,protein level,PE1,0
NX_Q9UHD1,,CHORDC1,11,protein level,PE1,0
NX_Q8TDW7,,FAT3,11,protein level,PE1,0
NX_P49286,,MTNR1B,11,transcript level,PE2,1
NX_Q6YBV0,,SLC36A4,11,protein level,PE1,0
NX_Q05D60,,CCDC67,11,transcript level,PE2,1
NX_Q9NRQ5,,SMCO4,11,transcript level,PE2,1
NX_Q9C0D2,,KIAA1731,11,protein level,PE1,0
NX_Q9H5J8,,TAF1D,11,protein level,PE1,0
NX_Q9H0W9,,C11orf54,11,protein level,PE1,0
NX_Q9NVC6,,MED17,11,protein level,PE1,0
NX_A8MXK1,,VSTM5,11,protein level,PE1,0
NX_Q6MZM0,,HEPHL1,11,protein level,PE1,0
NX_Q96RD7,,PANX1,11,protein level,PE1,0
NX_A6ND01,,FOLR4,11,homology,PE3,1
NX_Q9NYM4,,GPR83,11,transcript level,PE2,1
NX_P49959,,MRE11A,11,protein level,PE1,0
NX_Q8WVL7,,ANKRD49,11,protein level,PE1,0
NX_Q7Z3Z4,,PIWIL4,11,transcript level,PE2,1
NX_P22083,,FUT4,11,protein level,PE1,0
NX_Q8IY63,,AMOTL1,11,protein level,PE1,0
NX_Q9P013,,CWC15,11,protein level,PE1,0
NX_Q6B0I6,,KDM4D,11,protein level,PE1,0
NX_B2RXH2,,KDM4E,11,protein level,PE1,0
NX_Q9BRL6,,SRSF8,11,protein level,PE1,0
NX_O94919,,ENDOD1,11,protein level,PE1,0
NX_P58005,,SESN3,11,protein level,PE1,0
NX_Q5HYJ3,,FAM76B,11,protein level,PE1,0
NX_Q86XR8,,CEP57,11,protein level,PE1,0
NX_Q13614,,MTMR2,11,protein level,PE1,0
NX_Q8IZL2,,MAML2,11,protein level,PE1,0
NX_Q8N4S0,,CCDC82,11,protein level,PE1,0
NX_Q9Y4A0,,JRKL,11,protein level,PE1,0
NX_O94779,,CNTN5,11,protein level,PE1,0
NX_A6NI28,,ARHGAP42,11,protein level,PE1,0
NX_Q9H2Q1,,TMEM133,11,transcript level,PE2,1
NX_P06401,,PGR,11,protein level,PE1,0
NX_Q9Y210,,TRPC6,11,protein level,PE1,0
NX_Q86XS5,,ANGPTL5,11,transcript level,PE2,1
NX_Q9P2H0,,KIAA1377,11,protein level,PE1,0
NX_Q9BRQ4,,C11orf70,11,transcript level,PE2,1
NX_P46937,,YAP1,11,protein level,PE1,0
NX_Q13489,,BIRC3,11,protein level,PE1,0
NX_Q13490,,BIRC2,11,protein level,PE1,0
