Protein,Anchor,Gene,Chromosome,Source,Score
P05067-6,0,ENSG00000142192,21,PICR,3
P05067-7,0,ENSG00000142192,21,PICR,1
P05067-8,0,ENSG00000142192,21,PICR,3
P05067-9,0,ENSG00000142192,21,PICR,3
P05089,1,ENSG00000118520,6,PICR,3
P05089-2,0,ENSG00000118520,6,PICR,3
P05089-3,0,ENSG00000118520,6,PICR,3
P05090,0,ENSG00000189058,3,PICR,3
P05091,0,ENSG00000111275,12,PICR,3
P05093,1,ENSG00000148795,10,PICR,3
P05106,0,ENSG00000259207,17,PICR,3
P05106-2,0,ENSG00000259207,17,PICR,1
P05106-3,0,ENSG00000259207,17,PICR,3
P05107,0,ENSG00000160255,21,PICR,3
P05108,0,ENSG00000140459,15,PICR,3
P05108-2,0,ENSG00000140459,15,PICR,3
P05109,1,ENSG00000143546,1,PICR,3
P05111,1,ENSG00000123999,2,PICR,3
P05112,1,ENSG00000113520,5,PICR,3
P05112-2,0,ENSG00000113520,5,PICR,3
P05113,0,ENSG00000113525,5,PICR,3
P05114,0,ENSG00000205581,21,PICR,3
P05120,0,ENSG00000197632,18,PICR,3
P05121,0,ENSG00000106366,7,PICR,3
P05121-2,0,ENSG00000106366,7,PICR,3
P05129,0,ENSG00000126583,19,PICR,3
P05141,1,ENSG00000005022,X,PICR,3
P05154,0,ENSG00000188488,14,PICR,3
P05155,0,ENSG00000149131,11,PICR,3
P05156,0,ENSG00000205403,4,PICR,3
P05160,1,ENSG00000143278,1,PICR,3
P05161,1,ENSG00000187608,1,PICR,3
P05162,0,ENSG00000100079,22,PICR,3
P05164,0,ENSG00000005381,17,PICR,3
P05164-2,0,ENSG00000005381,17,PICR,3
P05164-3,0,ENSG00000005381,17,PICR,3
P05165,0,ENSG00000175198,13,PICR,3
P05165-2,0,ENSG00000175198,13,PICR,3
P05165-3,0,ENSG00000175198,13,PICR,3
P05166,0,ENSG00000114054,3,PICR,3
P05166-2,0,ENSG00000114054,3,PICR,3
P05177,1,ENSG00000140505,15,PICR,3
P05177-2,0,ENSG00000140505,15,PICR,3
P05181,0,ENSG00000130649,10,PICR,3
P05186,0,ENSG00000162551,1,PICR,3
P05186-2,0,ENSG00000162551,1,PICR,3
P05186-3,0,ENSG00000162551,1,PICR,3
P05187,1,ENSG00000163283,2,PICR,3
P05198,0,ENSG00000134001,14,PICR,3
P05204,1,ENSG00000198830,1,PICR,3
P05230,0,ENSG00000113578,5,PICR,3
P05230-2,0,ENSG00000113578,5,PICR,3
P05231,0,ENSG00000136244,7,PICR,3
P05305,1,ENSG00000078401,6,PICR,3
P05362,0,ENSG00000090339,19,PICR,3
P05386,0,ENSG00000137818,15,PICR,3
P05386-2,0,ENSG00000137818,15,PICR,3
P05387,0,ENSG00000177600,11,PICR,3
P05388,0,ENSG00000089157,12,PICR,3
P05408,0,ENSG00000166922,15,PICR,3
P05408-2,0,ENSG00000166922,15,PICR,3
P05412,1,ENSG00000177606,1,PICR,3
P05413,1,ENSG00000121769,1,PICR,3
P05423,0,ENSG00000168495,8,PICR,3
P05451,1,ENSG00000115386,2,PICR,3
P05452,0,ENSG00000163815,3,PICR,3
P05455,0,ENSG00000138385,2,PICR,3
P05496,0,ENSG00000159199,17,PICR,3
P05534,1,ENSG00000224320,HSCHR6_MHC_COX,PICR,2
P05538,1,ENSG00000224305,HSCHR6_MHC_COX,PICR,3
P05538-2,0,ENSG00000224305,HSCHR6_MHC_COX,PICR,3
P05543,1,ENSG00000123561,X,PICR,3
P05546,1,ENSG00000099937,22,PICR,3
P05549,0,ENSG00000137203,6,PICR,3
P05549-2,0,ENSG00000137203,6,PICR,3
P05549-5,0,ENSG00000137203,6,PICR,3
P05556,0,ENSG00000150093,10,PICR,3
P05556-2,0,ENSG00000150093,10,PICR,3
P05556-3,0,ENSG00000150093,10,PICR,3
P05556-4,0,ENSG00000167985,11,PICR,1
P05556-5,0,ENSG00000150093,10,PICR,3
P05771,0,ENSG00000166501,16,PICR,3
P05771-2,0,ENSG00000166501,16,PICR,3
P05783,0,ENSG00000111057,12,PICR,3
P05787,0,ENSG00000170421,12,PICR,3
P05787-2,0,ENSG00000170421,12,PICR,3
P05813,0,ENSG00000108255,17,PICR,3
P05813-2,0,ENSG00000108255,17,PICR,3
P05814,1,ENSG00000135222,4,PICR,3
P05937,0,ENSG00000104327,8,PICR,3
P05976,1,ENSG00000168530,2,PICR,3
P05976-2,0,ENSG00000168530,2,PICR,3
P05981,0,ENSG00000105707,19,PICR,3
P05997,1,ENSG00000204262,2,PICR,3
P06028,0,ENSG00000250361,4,PICR,3
P06126,1,ENSG00000158477,1,PICR,3
P06127,0,ENSG00000110448,11,PICR,3
P06132,0,ENSG00000126088,1,PICR,3
P06133,0,ENSG00000156096,4,PICR,3
P06213,0,ENSG00000171105,19,PICR,3
P06213-2,0,ENSG00000171105,19,PICR,3
P06239,0,ENSG00000182866,1,PICR,3
P06239-2,0,ENSG00000182866,1,PICR,3
P06239-3,0,ENSG00000182866,1,PICR,3
P06241,0,ENSG00000010810,6,PICR,3
P06241-2,0,ENSG00000010810,6,PICR,3
P06241-3,0,ENSG00000010810,6,PICR,3
P06276,0,ENSG00000114200,3,PICR,3
P06280,1,ENSG00000268815,HG1439_PATCH,PICR,3
P06307,1,ENSG00000187094,3,PICR,3
P06312,1,ENSG00000211598,2,PICR,3
P06315,1,ENSG00000211599,2,PICR,3
P06340,0,ENSG00000232962,HSCHR6_MHC_COX,PICR,3
P06396,0,ENSG00000148180,9,PICR,3
P06396-2,0,ENSG00000148180,9,PICR,3
P06396-3,0,ENSG00000148180,9,PICR,3
P06400,1,ENSG00000139687,13,PICR,3
P06401,0,ENSG00000082175,11,PICR,3
P06401-2,0,ENSG00000082175,11,PICR,3
P06454,0,ENSG00000187514,2,PICR,3
P06454-2,0,ENSG00000187514,2,PICR,3
P06493,0,ENSG00000170312,10,PICR,3
P06493-2,0,ENSG00000170312,10,PICR,3
P06576,0,ENSG00000110955,12,PICR,3
P06681,0,ENSG00000235017,HSCHR6_MHC_COX,PICR,3
P06681-2,1,ENSG00000226560,HSCHR6_MHC_MCF,PICR,3
P06681-3,0,ENSG00000235017,HSCHR6_MHC_COX,PICR,3
P06702,1,ENSG00000163220,1,PICR,3
P06703,1,ENSG00000197956,1,PICR,3
P06727,1,ENSG00000110244,11,PICR,1
P06729,1,ENSG00000116824,1,PICR,3
P06730,0,ENSG00000151247,4,PICR,3
P06730-2,0,ENSG00000151247,4,PICR,3
P06730-3,0,ENSG00000151247,4,PICR,3
P06731,0,ENSG00000105388,19,PICR,3
P06732,1,ENSG00000104879,19,PICR,3
P06733,0,ENSG00000074800,1,PICR,3
P06733-2,0,ENSG00000074800,1,PICR,3
P06734,0,ENSG00000104921,19,PICR,3
P06737,0,ENSG00000100504,14,PICR,3
P06737-2,0,ENSG00000100504,14,PICR,3
P06744,0,ENSG00000105220,19,PICR,3
P06744-2,0,ENSG00000105220,19,PICR,3
P06746,0,ENSG00000070501,8,PICR,3
P06748,0,ENSG00000181163,5,PICR,3
P06748-2,0,ENSG00000181163,5,PICR,3
P06748-3,0,ENSG00000181163,5,PICR,3
P06753,0,ENSG00000143549,1,PICR,3
P06753-2,0,ENSG00000143549,1,PICR,3
P06753-3,0,ENSG00000143549,1,PICR,3
P06756,0,ENSG00000138448,2,PICR,3
P06756-2,0,ENSG00000138448,2,PICR,3
P06756-3,0,ENSG00000138448,2,PICR,3
P06850,1,ENSG00000147571,8,PICR,3
P06858,0,ENSG00000175445,8,PICR,3
P06865,0,ENSG00000213614,15,PICR,3
P06870,0,ENSG00000167748,19,PICR,3
P06870-2,0,ENSG00000167748,19,PICR,1
P06881,0,ENSG00000262933,HG873_PATCH,PICR,3
P06899,1,ENSG00000124635,6,PICR,3
P07093,0,ENSG00000135919,2,PICR,3
P07093-2,0,ENSG00000135919,2,PICR,3
P07093-3,0,ENSG00000135919,2,PICR,3
P07098,0,ENSG00000182333,10,PICR,3
P07099,0,ENSG00000143819,1,PICR,3
P07101,0,ENSG00000180176,11,PICR,3
P07101-2,0,ENSG00000180176,11,PICR,3
P07101-3,0,ENSG00000180176,11,PICR,3
P07101-4,0,ENSG00000180176,11,PICR,3
P07108,1,ENSG00000155368,2,PICR,3
P07108-2,0,ENSG00000155368,2,PICR,3
P07108-3,0,ENSG00000155368,2,PICR,3
P07108-4,0,ENSG00000155368,2,PICR,3
P07108-5,0,ENSG00000155368,2,PICR,3
P07108-6,0,ENSG00000155368,2,PICR,3
P07148,0,ENSG00000163586,2,PICR,3
P07195,0,ENSG00000111716,12,PICR,3
P07196,0,null,8,UniProt,3
P07197,0,ENSG00000104722,8,PICR,3
P07197-2,0,ENSG00000104722,8,PICR,3
P07199,1,ENSG00000125817,20,PICR,3
P07202,0,ENSG00000115705,2,PICR,3
P07202-2,0,ENSG00000115705,2,PICR,3
P07202-3,0,ENSG00000115705,2,PICR,1
P07202-4,0,ENSG00000115705,2,PICR,3
P07202-5,0,ENSG00000115705,2,PICR,3
P07202-6,0,ENSG00000115705,2,PICR,3
P07202-7,0,ENSG00000115705,2,PICR,3
P07202-8,0,ENSG00000115705,2,PICR,3
P07203,0,ENSG00000233276,3,PICR,3
P07204,1,ENSG00000178726,20,PICR,3
P07205,1,ENSG00000170950,6,PICR,3
P07225,0,ENSG00000184500,3,PICR,3
P07237,0,ENSG00000185624,17,PICR,3
P07288,0,ENSG00000142515,19,PICR,3
P07288-2,0,ENSG00000142515,19,PICR,3
P07288-3,0,ENSG00000142515,19,PICR,3
P07288-4,0,ENSG00000142515,19,PICR,3
P07305,1,ENSG00000189060,22,PICR,3
P07305-2,0,ENSG00000189060,22,PICR,3
P07306,0,ENSG00000141505,17,PICR,3
P07306-2,0,ENSG00000141505,17,PICR,3
P07307,0,ENSG00000161944,17,PICR,3
P07307-2,0,ENSG00000161944,17,PICR,3
P07307-3,0,ENSG00000161944,17,PICR,3
P07311,0,ENSG00000119640,14,PICR,3
P07311-2,0,ENSG00000119640,14,PICR,3
P07315,1,ENSG00000163254,2,PICR,3
P07316,1,ENSG00000182187,2,PICR,3
P07320,1,ENSG00000118231,2,PICR,3
P07327,1,ENSG00000187758,4,PICR,3
P07332,0,ENSG00000182511,15,PICR,3
P07332-2,0,ENSG00000182511,15,PICR,3
P07332-3,0,ENSG00000182511,15,PICR,3
P07332-4,0,ENSG00000182511,15,PICR,3
P07333,0,ENSG00000182578,5,PICR,3
P07339,0,ENSG00000117984,11,PICR,3
P07355,0,ENSG00000182718,15,PICR,3
P07355-2,0,ENSG00000182718,15,PICR,3
P07357,1,ENSG00000157131,1,PICR,3
P07358,0,ENSG00000021852,1,PICR,3
P07359,0,null,17,UniProt,3
P07360,1,ENSG00000176919,9,PICR,3
P07384,0,ENSG00000014216,11,PICR,3
P07437,1,ENSG00000232421,HSCHR6_MHC_SSTO,PICR,3
P07438,0,ENSG00000169688,16,PICR,3
P07451,0,ENSG00000164879,8,PICR,3
P07476,0,ENSG00000163207,1,PICR,3
P07477,0,ENSG00000261473,HG7_PATCH,PICR,3
P07478,1,ENSG00000262739,HG7_PATCH,PICR,3
P07492,0,ENSG00000134443,18,PICR,3
P07492-2,0,ENSG00000134443,18,PICR,3
P07492-3,0,ENSG00000134443,18,PICR,3
P07498,1,ENSG00000171209,4,PICR,3
P07510,0,ENSG00000196811,2,PICR,3
P07550,1,ENSG00000169252,5,PICR,3
P07585,0,ENSG00000011465,12,PICR,3
P07585-2,0,ENSG00000011465,12,PICR,3
P07585-3,0,ENSG00000011465,12,PICR,3
P07585-4,0,ENSG00000011465,12,PICR,3
P07585-5,0,ENSG00000011465,12,PICR,3
P07602,0,ENSG00000197746,10,PICR,3
P07602-2,0,ENSG00000197746,10,PICR,3
P07602-3,0,ENSG00000197746,10,PICR,3
P07686,0,ENSG00000049860,5,PICR,2
P07711,1,ENSG00000135047,9,PICR,3
P07737,0,ENSG00000108518,17,PICR,3
P07738,0,ENSG00000172331,7,PICR,3
P07741,0,ENSG00000198931,16,PICR,3
P07741-2,0,ENSG00000198931,16,PICR,3
P07766,0,ENSG00000198851,11,PICR,3
P07814,1,ENSG00000136628,1,PICR,3
P07858,0,ENSG00000164733,8,PICR,3
P07864,0,ENSG00000166796,11,PICR,3
P07900,0,ENSG00000080824,14,PICR,3
P07900-2,0,ENSG00000080824,14,PICR,3
P07902,0,ENSG00000213930,9,PICR,3
P07902-2,0,ENSG00000213930,9,PICR,3
P07910,0,ENSG00000092199,14,PICR,3
P07910-2,0,ENSG00000092199,14,PICR,3
P07910-3,0,ENSG00000092199,14,PICR,3
P07910-4,0,ENSG00000092199,14,PICR,3
P07911,0,ENSG00000169344,16,PICR,3
P07911-2,0,ENSG00000169344,16,PICR,3
P07911-3,0,ENSG00000169344,16,PICR,3
P07911-4,0,ENSG00000169344,16,PICR,3
P07919,1,ENSG00000173660,1,PICR,3
P07942,0,ENSG00000091136,7,PICR,3
P07947,0,ENSG00000176105,18,PICR,3
P07948,0,ENSG00000254087,8,PICR,3
P07948-2,0,ENSG00000254087,8,PICR,3
P07949,0,ENSG00000165731,10,PICR,3
P07949-2,0,ENSG00000165731,10,PICR,3
P07951,1,ENSG00000198467,9,PICR,3
P07951-2,0,ENSG00000198467,9,PICR,3
P07951-3,0,ENSG00000198467,9,PICR,3
P07954,1,ENSG00000091483,1,PICR,3
P07954-2,0,ENSG00000091483,1,PICR,3
P07988,0,ENSG00000168878,2,PICR,3
P07992,0,ENSG00000012061,19,PICR,3
P07992-2,0,ENSG00000012061,19,PICR,3
P07992-3,0,ENSG00000012061,19,PICR,3
P07996,0,ENSG00000137801,15,PICR,3
P07998,0,ENSG00000129538,14,PICR,3
P08034,0,ENSG00000169562,X,PICR,3
P08047,0,ENSG00000185591,12,PICR,3
P08048,0,ENSG00000067646,Y,PICR,3
P08048-2,0,ENSG00000067646,Y,PICR,3
P08048-3,0,ENSG00000067646,Y,PICR,3
P08069,0,ENSG00000140443,15,PICR,3
P08100,1,ENSG00000163914,3,PICR,3
P08107,0,ENSG00000234475,HSCHR6_MHC_DBB,PICR,3
P08107-2,0,ENSG00000234475,HSCHR6_MHC_DBB,PICR,3
P08118,1,ENSG00000263639,HG1211_PATCH,PICR,3
P08118-2,0,ENSG00000263639,HG1211_PATCH,PICR,3
P08123,1,ENSG00000164692,7,PICR,3
P08133,0,ENSG00000197043,5,PICR,3
P08133-2,0,ENSG00000197043,5,PICR,3
P08134,0,ENSG00000155366,1,PICR,3
P08138,0,ENSG00000064300,17,PICR,3
P08151,0,ENSG00000111087,12,PICR,3
P08151-2,0,ENSG00000111087,12,PICR,3
P08172,1,ENSG00000181072,7,PICR,3
P08173,1,ENSG00000180720,11,PICR,3
P08174,0,ENSG00000196352,1,PICR,3
P08174-2,0,ENSG00000196352,1,PICR,3
P08183,0,ENSG00000085563,7,PICR,3
P08185,0,ENSG00000170099,14,PICR,3
P08195,0,ENSG00000168003,11,PICR,3
P08195-2,0,ENSG00000168003,11,PICR,3
P08195-3,0,ENSG00000168003,11,PICR,3
P08195-4,0,ENSG00000168003,11,PICR,3
P08217,1,ENSG00000142615,1,PICR,3
P08218,1,ENSG00000215704,1,PICR,3
P08235,0,ENSG00000151623,4,PICR,2
P08235-2,0,ENSG00000151623,4,PICR,2
P08235-3,0,ENSG00000151623,4,PICR,2
P08235-4,0,ENSG00000151623,4,PICR,2
P08236,0,ENSG00000169919,7,PICR,3
P08236-2,0,ENSG00000169919,7,PICR,3
P08237,0,ENSG00000152556,12,PICR,3
P08237-2,0,ENSG00000152556,12,PICR,3
P08237-3,0,ENSG00000152556,12,PICR,3
P08238,0,ENSG00000096384,6,PICR,3
P08240,1,ENSG00000182934,11,PICR,3
P08240-2,0,ENSG00000182934,11,PICR,3
P08243,0,ENSG00000070669,7,PICR,3
P08243-2,0,ENSG00000070669,7,PICR,3
P08243-3,0,ENSG00000070669,7,PICR,3
P08246,1,ENSG00000197561,19,PICR,3
P08247,0,ENSG00000268353,HG1436_HG1432_PATCH,PICR,3
P08253,0,ENSG00000087245,16,PICR,3
P08253-2,0,ENSG00000087245,16,PICR,3
P08253-3,0,ENSG00000087245,16,PICR,3
P08254,0,ENSG00000263313,HG305_PATCH,PICR,3
P08263,1,ENSG00000243955,6,PICR,3
P08294,0,ENSG00000109610,4,PICR,3
P08311,1,ENSG00000100448,14,PICR,3
P08319,0,ENSG00000198099,4,PICR,3
P08319-2,0,ENSG00000198099,4,PICR,3
P08397,0,ENSG00000261883,HG299_PATCH,PICR,3
P08397-2,0,ENSG00000261883,HG299_PATCH,PICR,3
P08473,0,ENSG00000196549,3,PICR,3
P08476,1,ENSG00000122641,7,PICR,3
P08493,0,ENSG00000111341,12,PICR,3
P08514,0,ENSG00000005961,17,PICR,3
P08514-2,0,ENSG00000005961,17,PICR,3
P08514-3,0,ENSG00000005961,17,PICR,1
P08519,1,ENSG00000198670,6,PICR,2
P08559,1,ENSG00000131828,X,PICR,3
P08559-2,0,ENSG00000131828,X,PICR,3
P08559-3,0,ENSG00000131828,X,PICR,3
P08559-4,0,ENSG00000131828,X,PICR,3
P08567,1,ENSG00000115956,2,PICR,3
P08571,0,ENSG00000170458,5,PICR,3
P08572,0,ENSG00000134871,13,PICR,3
P08574,1,ENSG00000179091,8,PICR,3
P08575,0,ENSG00000081237,1,PICR,3
P08575-2,0,ENSG00000081237,1,PICR,3
P08579,1,ENSG00000125870,20,PICR,3
P08581,0,ENSG00000105976,7,PICR,3
P08581-2,0,ENSG00000105976,7,PICR,3
P08581-3,0,ENSG00000105976,7,PICR,3
P08582,0,ENSG00000163975,3,PICR,3
P08582-2,0,ENSG00000163975,3,PICR,3
P08588,1,ENSG00000043591,10,PICR,3
P08590,0,ENSG00000160808,3,PICR,3
P08603,0,ENSG00000000971,1,PICR,3
P08603-2,0,ENSG00000000971,1,PICR,3
P08620,1,ENSG00000075388,11,PICR,3
P08621,0,ENSG00000104852,19,PICR,3
P08621-2,0,ENSG00000104852,19,PICR,3
P08621-3,0,ENSG00000104852,19,PICR,3
P08621-4,0,ENSG00000104852,19,PICR,3
P08631,0,ENSG00000101336,20,PICR,3
P08631-2,0,ENSG00000101336,20,PICR,3
P08631-3,0,ENSG00000101336,20,PICR,3
P08631-4,0,ENSG00000101336,20,PICR,3
P08637,0,ENSG00000203747,1,PICR,3
P08648,0,ENSG00000161638,12,PICR,3
P08651,0,ENSG00000141905,19,PICR,3
P08651-2,0,ENSG00000141905,19,PICR,3
P08651-3,0,ENSG00000141905,19,PICR,3
P08651-4,0,ENSG00000141905,19,PICR,3
P08651-5,0,ENSG00000141905,19,PICR,3
P08670,0,ENSG00000026025,10,PICR,3
P08684,0,ENSG00000160868,7,PICR,3
P08686,0,ENSG00000235134,HSCHR6_MHC_MCF,PICR,3
P08686-2,0,ENSG00000235134,HSCHR6_MHC_MCF,PICR,3
P08697,0,ENSG00000167711,17,PICR,3
P08697-2,0,ENSG00000167711,17,PICR,3
P08700,1,ENSG00000164399,5,PICR,3
P08708,0,ENSG00000182774,15,PICR,3
P08709,0,ENSG00000057593,13,PICR,3
P08709-2,0,ENSG00000057593,13,PICR,3
P08727,0,ENSG00000171345,17,PICR,3
P08729,0,ENSG00000135480,12,PICR,3
P08754,1,ENSG00000065135,1,PICR,3
P08758,0,ENSG00000164111,4,PICR,3
P08779,0,ENSG00000186832,17,PICR,3
P08833,0,ENSG00000146678,7,PICR,3
P08842,1,ENSG00000101846,X,PICR,3
P08861,1,ENSG00000219073,1,PICR,3
P08865,0,ENSG00000168028,3,PICR,3
P08887,0,ENSG00000160712,1,PICR,3
P08887-2,0,ENSG00000160712,1,PICR,3
P08908,0,ENSG00000178394,5,PICR,3
P08910,0,ENSG00000140526,15,PICR,3
P08912,0,ENSG00000184984,15,PICR,3
P08913,1,ENSG00000150594,10,PICR,1
P08922,0,ENSG00000047936,6,PICR,3
P08949,1,ENSG00000197696,15,PICR,3
P08949-2,0,ENSG00000197696,15,PICR,3
P08962,0,ENSG00000135404,12,PICR,3
P08962-2,0,ENSG00000135404,12,PICR,3
P08F94,1,ENSG00000170927,6,PICR,3
P08F94-2,0,ENSG00000170927,6,PICR,3
P09001,0,ENSG00000114686,3,PICR,3
P09012,0,ENSG00000077312,19,PICR,3
P09016,1,ENSG00000170166,2,PICR,3
P09017,1,ENSG00000198353,12,PICR,3
P09038,1,ENSG00000138685,4,PICR,2
P09038-1,0,ENSG00000138685,4,PICR,2
P09038-2,0,ENSG00000138685,4,PICR,2
P09038-3,0,ENSG00000138685,4,PICR,2
P09067,1,ENSG00000120075,17,PICR,3
P09086,0,ENSG00000028277,19,PICR,3
P09086-2,0,ENSG00000028277,19,PICR,3
P09086-3,0,ENSG00000028277,19,PICR,3
P09086-4,0,ENSG00000028277,19,PICR,3
P09086-5,0,ENSG00000028277,19,PICR,3
P09093,0,ENSG00000142789,1,PICR,3
P09104,0,ENSG00000269528,HG344_PATCH,PICR,3
P09105,1,ENSG00000086506,16,PICR,3
P09110,0,ENSG00000060971,3,PICR,3
P09110-2,0,ENSG00000060971,3,PICR,3
P09131,1,ENSG00000268604,HG1497_PATCH,PICR,3
P09131-2,0,ENSG00000268604,HG1497_PATCH,PICR,3
P09132,0,ENSG00000153037,5,PICR,3
P09132-2,0,ENSG00000153037,5,PICR,3
P09132-3,0,ENSG00000153037,5,PICR,3
P09172,1,ENSG00000123454,9,PICR,3
P09210,1,ENSG00000244067,6,PICR,3
P09211,0,ENSG00000084207,11,PICR,3
P09228,1,ENSG00000170369,20,PICR,3
P09234,1,ENSG00000124562,6,PICR,3
P09237,1,ENSG00000137673,11,PICR,3
P09238,0,ENSG00000166670,11,PICR,3
P09326,1,ENSG00000117091,1,PICR,3
P09327,0,ENSG00000127831,2,PICR,3
P09341,1,ENSG00000163739,4,PICR,3
P09382,0,ENSG00000100097,22,PICR,3
P09417,0,ENSG00000151552,4,PICR,3
P09429,1,ENSG00000189403,13,PICR,3
P09430,1,ENSG00000118245,2,PICR,3
P09455,0,ENSG00000114115,3,PICR,3
P09455-2,0,ENSG00000114115,3,PICR,3
P09455-3,0,ENSG00000114115,3,PICR,3
P09466,0,ENSG00000122133,9,PICR,3
P09466-2,0,ENSG00000122133,9,PICR,3
P09466-3,0,ENSG00000122133,9,PICR,3
P09467,1,ENSG00000165140,9,PICR,3
P09471,0,ENSG00000087258,16,PICR,3
P09471-2,0,ENSG00000087258,16,PICR,3
P09486,0,ENSG00000113140,5,PICR,3
P09488,0,ENSG00000134184,1,PICR,3
P09488-2,0,ENSG00000134184,1,PICR,3
P09493,0,ENSG00000140416,15,PICR,3
P09493-2,0,ENSG00000140416,15,PICR,3
P09493-3,0,ENSG00000140416,15,PICR,3
P09493-4,0,ENSG00000140416,15,PICR,3
P09493-5,0,ENSG00000140416,15,PICR,3
P09493-6,0,ENSG00000140416,15,PICR,3
P09493-7,0,ENSG00000140416,15,PICR,3
P09496,0,ENSG00000122705,9,PICR,3
P09496-2,0,ENSG00000122705,9,PICR,3
P09496-3,0,ENSG00000122705,9,PICR,3
P09496-4,0,ENSG00000122705,9,PICR,3
P09497,0,ENSG00000175416,5,PICR,3
P09497-2,0,ENSG00000175416,5,PICR,3
P09525,0,ENSG00000196975,2,PICR,2
P09529,1,ENSG00000163083,2,PICR,3
P09543,0,ENSG00000260283,HG185_PATCH,PICR,3
P09543-2,0,ENSG00000260283,HG185_PATCH,PICR,3
P09544,0,ENSG00000105989,7,PICR,3
P09564,0,ENSG00000173762,17,PICR,3
P09565,0,null,11,UniProt,3
P09601,0,ENSG00000100292,22,PICR,3
P09603,0,ENSG00000184371,1,PICR,3
P09603-2,0,ENSG00000184371,1,PICR,3
P09603-3,0,ENSG00000184371,1,PICR,3
P09619,0,ENSG00000113721,5,PICR,3
P09622,0,ENSG00000091140,7,PICR,3
P09629,1,ENSG00000120087,17,PICR,3
P09630,0,ENSG00000197757,12,PICR,3
P09630-2,0,ENSG00000197757,12,PICR,3
P09651,0,ENSG00000135486,12,PICR,3
P09651-2,0,ENSG00000135486,12,PICR,3
P09651-3,0,ENSG00000135486,12,PICR,3
P09661,0,ENSG00000131876,15,PICR,3
P09668,0,ENSG00000103811,15,PICR,3
P09669,1,ENSG00000164919,8,PICR,3
P09681,1,ENSG00000159224,17,PICR,3
P09683,1,ENSG00000070031,11,PICR,3
P09693,0,ENSG00000160654,11,PICR,3
P09758,1,ENSG00000184292,1,PICR,3
P09769,0,ENSG00000000938,1,PICR,3
P09848,0,ENSG00000115850,2,PICR,3
P09871,0,ENSG00000269882,HG344_PATCH,PICR,3
P09874,1,ENSG00000143799,1,PICR,3
P09884,0,ENSG00000101868,X,PICR,3
P09912,1,ENSG00000126709,1,PICR,3
P09912-2,0,ENSG00000126709,1,PICR,3
P09912-3,0,ENSG00000126709,1,PICR,3
P09913,1,ENSG00000119922,10,PICR,3
P09914,0,ENSG00000185745,10,PICR,3
P09917,1,ENSG00000262552,HSCHR10_1_CTG5,PICR,3
P09919,0,ENSG00000108342,17,PICR,3
P09919-2,0,ENSG00000108342,17,PICR,3
P09919-3,0,ENSG00000108342,17,PICR,3
P09923,0,ENSG00000163295,2,PICR,3
P09936,0,ENSG00000154277,4,PICR,3
P09958,0,ENSG00000140564,15,PICR,3
P09960,0,ENSG00000111144,12,PICR,3
P09960-2,0,ENSG00000111144,12,PICR,3
P09960-3,0,ENSG00000111144,12,PICR,3
P09960-4,0,ENSG00000111144,12,PICR,3
P09972,0,ENSG00000109107,17,PICR,3
P0C024,0,ENSG00000140876,16,PICR,3
P0C025,0,ENSG00000266054,HG1287_PATCH,PICR,3
P0C091,1,ENSG00000183090,4,PICR,3
P0C0E4,1,ENSG00000102128,X,PICR,3
P0C0L4,1,ENSG00000244731,6,PICR,3
P0C0L4-2,0,ENSG00000244731,6,PICR,3
P0C0L5,1,ENSG00000224389,6,PICR,3
P0C0P6,1,ENSG00000214285,10,PICR,3
P0C0S5,1,ENSG00000164032,4,PICR,3
P0C0S8,1,ENSG00000233224,6,PICR,3
P0C1H6,0,ENSG00000269685,HG1441_PATCH,PICR,3
P0C1S8,0,ENSG00000263042,HSCHR7_1_CTG6,PICR,3
P0C1Z6,0,ENSG00000268875,HSCHR19LRC_LRC_I_CTG1,PICR,3
P0C221,1,ENSG00000151838,14,PICR,3
P0C221-2,0,ENSG00000151838,14,PICR,3
P0C263,1,ENSG00000187550,19,PICR,3
P0C264,0,null,19,UniProt,3
P0C2L3,1,ENSG00000196990,9,PICR,3
P0C2S0,1,ENSG00000233932,15,PICR,3
P0C2W1,0,ENSG00000174013,3,PICR,3
P0C2W7,1,ENSG00000236446,X,PICR,3
P0C2Y1,0,null,1,UniProt,3
P0C5J1,0,ENSG00000145002,8,PICR,3
P0C5K6,0,null,X,UniProt,3
P0C5K7,0,ENSG00000225362,15,PICR,3
P0C5W0,1,ENSG00000224201,X,PICR,3
P0C5Y4,1,ENSG00000263242,HSCHR17_4_CTG4,PICR,3
P0C5Y9,1,ENSG00000268813,HG1497_PATCH,PICR,3
P0C5Z0,1,ENSG00000268901,HG1497_PATCH,PICR,3
P0C604,0,null,11,UniProt,3
P0C617,0,null,11,UniProt,3
P0C623,0,null,14,UniProt,3
P0C626,0,null,11,UniProt,3
P0C628,0,null,3,UniProt,3
P0C629,0,null,1,UniProt,3
P0C645,0,null,14,UniProt,3
P0C646,0,null,11,UniProt,3
P0C671,1,ENSG00000189325,6,PICR,3
P0C672,0,ENSG00000231738,12,PICR,3
P0C6A0,0,ENSG00000220201,19,PICR,3
P0C6C1,0,ENSG00000235711,15,PICR,1
P0C6E5,0,null,17,UniProt,3
P0C6E6,0,null,X,UniProt,3
P0C6P0,0,null,15,UniProt,3
P0C6S8,0,ENSG00000220008,19,PICR,3
